date,open,high,low,close,volume
12/12/80,0.5134,0.5155,0.5134,0.5134,117258400
15/12/80,0.4889,0.4889,0.4866,0.4866,43971200
16/12/80,0.453,0.453,0.4509,0.4509,26432000
17/12/80,0.462,0.4643,0.462,0.462,21610400
18/12/80,0.4755,0.4777,0.4755,0.4755,18362400
19/12/80,0.5045,0.5068,0.5045,0.5045,12157600
22/12/80,0.5291,0.5313,0.5291,0.5291,9340800
23/12/80,0.5514,0.5536,0.5514,0.5514,11737600
24/12/80,0.5804,0.5827,0.5804,0.5804,12000800
26/12/80,0.6339,0.6361,0.6339,0.6339,13893600
29/12/80,0.6429,0.6452,0.6429,0.6429,23290400
30/12/80,0.6295,0.6295,0.6271,0.6271,17220000
31/12/80,0.6116,0.6116,0.6095,0.6095,8937600
02/01/81,0.6161,0.6205,0.6161,0.6161,5415200
05/01/81,0.6048,0.6048,0.6027,0.6027,8932000
06/01/81,0.578,0.578,0.5759,0.5759,11289600
07/01/81,0.5536,0.5536,0.5514,0.5514,13921600
08/01/81,0.5423,0.5423,0.5402,0.5402,9956800
09/01/81,0.5693,0.5714,0.5693,0.5693,5376000
12/01/81,0.5693,0.5693,0.5646,0.5646,5924800
13/01/81,0.547,0.547,0.5446,0.5446,5762400
14/01/81,0.547,0.5491,0.547,0.547,3572800
15/01/81,0.558,0.5625,0.558,0.558,3516800
16/01/81,0.5557,0.5557,0.5536,0.5536,3348800
19/01/81,0.587,0.5893,0.587,0.587,10393600
20/01/81,0.5714,0.5714,0.5693,0.5693,7520800
21/01/81,0.5804,0.5848,0.5804,0.5804,3976000
22/01/81,0.587,0.5916,0.587,0.587,8887200
23/01/81,0.587,0.5893,0.5848,0.5848,2805600
26/01/81,0.578,0.578,0.5759,0.5759,6160000
27/01/81,0.5759,0.5759,0.5714,0.5714,5924800
28/01/81,0.5557,0.5557,0.5536,0.5536,7039200
29/01/81,0.5357,0.5357,0.5334,0.5334,10976000
30/01/81,0.5089,0.5089,0.5045,0.5045,11547200
02/02/81,0.4777,0.4777,0.4755,0.4755,5941600
03/02/81,0.4932,0.4955,0.4932,0.4932,4788000
04/02/81,0.5111,0.5134,0.5111,0.5111,6966400
05/02/81,0.5111,0.5155,0.5111,0.5111,1982400
06/02/81,0.5134,0.5155,0.5134,0.5134,3466400
09/02/81,0.4911,0.4911,0.4866,0.4866,4188800
10/02/81,0.4866,0.4889,0.4866,0.4866,4586400
11/02/81,0.4732,0.4732,0.4709,0.4709,3460800
12/02/81,0.4688,0.4688,0.4666,0.4666,3640000
